,Country,HDI.Rank,HDI,CPI,Region
1,Afghanistan,172,0.398,1.5,Asia & Oceania
2,Albania,70,0.739,3.1,Central & Eastern Europe
3,Algeria,96,0.698,2.9,Middle East & north Africa
4,Angola,148,0.486,2,Sub-Saharan Africa
5,Argentina,45,0.797,3,Americas
6,Armenia,86,0.716,2.6,Central & Eastern Europe
7,Australia,2,0.929,8.8,OECD
8,Austria,19,0.885,7.8,OECD
9,Azerbaijan,91,0.7,2.4,Central & Eastern Europe
10,Bahamas,53,0.771,7.3,Americas
11,Bahrain,42,0.806,5.1,Middle East & north Africa
12,Bangladesh,146,0.5,2.7,Asia & Oceania
13,Barbados,47,0.793,7.8,Americas
14,Belarus,65,0.756,2.4,Central & Eastern Europe
15,Belgium,18,0.886,7.5,OECD
16,Benin,167,0.427,3,Sub-Saharan Africa
17,Bhutan,141,0.522,5.7,Asia & Oceania
18,Bolivia,108,0.663,2.8,Americas
19,Bosnia and Herzegovina,74,0.733,3.2,Central & Eastern Europe
20,Botswana,118,0.633,6.1,Sub-Saharan Africa
21,Brazil,84,0.718,3.8,Americas
22,Britain,28,0.863,7.8,OECD
23,Bulgaria,55,0.771,3.3,Central & Eastern Europe
24,Burkina Faso,181,0.331,3,Sub-Saharan Africa
25,Burundi,185,0.316,1.9,Sub-Saharan Africa
26,Cambodia,139,0.523,2.1,Asia & Oceania
27,Cameroon,150,0.482,2.5,Sub-Saharan Africa
28,Canada,6,0.908,8.7,OECD
29,Cape Verde,133,0.568,5.5,Sub-Saharan Africa
30,Central African Republic,179,0.343,2.2,Sub-Saharan Africa
31,Chad,183,0.328,2,Sub-Saharan Africa
32,Chile,44,0.805,7.2,OECD
33,China,101,0.687,3.6,Asia & Oceania
34,Colombia,87,0.71,3.4,Americas
35,Comoros,163,0.433,2.4,Sub-Saharan Africa
36,Congo,187,0.286,2,Sub-Saharan Africa
37,Congo  Republic,137,0.533,2.2,Sub-Saharan Africa
38,Costa Rica,69,0.744,4.8,Americas
39,C̫te d'Ivoire,170,0.4,2.2,Sub-Saharan Africa
40,Croatia,46,0.796,4,Central & Eastern Europe
41,Cuba,51,0.776,4.2,Americas
42,Cyprus,31,0.84,6.3,Central & Eastern Europe
43,Czech Republic,27,0.865,4.4,OECD
44,Denmark,16,0.895,9.4,OECD
45,Djibouti,165,0.43,3,Sub-Saharan Africa
46,Dominica,81,0.724,5.2,Americas
47,Dominican Republic,98,0.689,2.6,Americas
48,Ecuador,83,0.72,2.7,Americas
49,Egypt,113,0.644,2.9,Middle East & north Africa
50,El Salvador,105,0.674,3.4,Americas
51,Equatorial Guinea,136,0.537,1.9,Sub-Saharan Africa
52,Eritrea,177,0.349,2.5,Sub-Saharan Africa
53,Estonia,34,0.835,6.4,OECD
54,Ethiopia,174,0.363,2.7,Sub-Saharan Africa
55,Finland,22,0.882,9.4,OECD
56,France,20,0.884,7,OECD
57,Gabon,106,0.674,3,Sub-Saharan Africa
58,Gambia,168,0.42,3.5,Sub-Saharan Africa
59,Georgia,75,0.733,4.1,Central & Eastern Europe
60,Germany,9,0.905,8,OECD
61,Ghana,135,0.541,3.9,Sub-Saharan Africa
62,Greece,29,0.861,3.4,OECD
63,Guatemala,131,0.574,2.7,Americas
64,Guinea,178,0.344,2.1,Sub-Saharan Africa
65,Guinea-Bissau,176,0.353,2.2,Sub-Saharan Africa
66,Guyana,117,0.633,2.5,Americas
67,Haiti,158,0.454,1.8,Americas
68,Honduras,121,0.625,2.6,Americas
69,Hong Kong,13,0.898,8.4,Asia & Oceania
70,Hungary,38,0.816,4.6,OECD
71,Iceland,14,0.898,8.3,OECD
72,India,134,0.547,3.1,Asia & Oceania
73,Indonesia,124,0.617,3,Asia & Oceania
74,Iran,88,0.707,2.7,Middle East & north Africa
75,Iraq,132,0.573,1.8,Middle East & north Africa
76,Ireland,7,0.908,7.5,OECD
77,Israel,17,0.888,5.8,OECD
78,Italy,24,0.874,3.9,OECD
79,Jamaica,79,0.727,3.3,Americas
80,Japan,12,0.901,8,OECD
81,Jordan,95,0.698,4.5,Middle East & north Africa
82,Kazakhstan,68,0.745,2.7,Central & Eastern Europe
83,Kenya,143,0.509,2.2,Sub-Saharan Africa
84,Kiribati,122,0.624,3.1,Asia & Oceania
85,Korea (South),15,0.897,5.4,OECD
86,Kuwait,63,0.76,4.6,Middle East & north Africa
87,Kyrgyzstan,126,0.615,2.1,Central & Eastern Europe
88,Laos,138,0.524,2.2,Asia & Oceania
89,Latvia,43,0.805,4.2,OECD
90,Lebanon,71,0.739,2.5,Middle East & north Africa
91,Lesotho,160,0.45,3.5,Sub-Saharan Africa
92,Liberia,182,0.329,3.2,Sub-Saharan Africa
93,Libya,64,0.76,2,Middle East & north Africa
94,Lithuania,40,0.81,4.8,Central & Eastern Europe
95,Luxembourg,25,0.867,8.5,OECD
96,Madagascar,151,0.48,3,Sub-Saharan Africa
97,Malawi,171,0.4,3,Sub-Saharan Africa
98,Malaysia,61,0.761,4.3,Asia & Oceania
99,Maldives,109,0.661,2.5,Asia & Oceania
100,Mali,175,0.359,2.8,Sub-Saharan Africa
101,Malta,36,0.832,5.6,Central & Eastern Europe
102,Mauritania,159,0.453,2.4,Sub-Saharan Africa
103,Mauritius,77,0.728,5.1,Sub-Saharan Africa
104,Mexico,57,0.77,3,OECD
105,Moldova,111,0.649,2.9,Central & Eastern Europe
106,Mongolia,110,0.653,2.7,Asia & Oceania
107,Montenegro,54,0.771,4,Central & Eastern Europe
108,Morocco,130,0.582,3.4,Middle East & north Africa
109,Mozambique,184,0.322,2.7,Sub-Saharan Africa
110,Myanmar,149,0.483,1.5,Asia & Oceania
111,Namibia,120,0.625,4.4,Sub-Saharan Africa
112,Nepal,157,0.458,2.2,Asia & Oceania
113,Netherlands,3,0.91,8.9,OECD
114,New Zealand,5,0.908,9.5,OECD
115,Nicaragua,129,0.589,2.5,Americas
116,Niger,186,0.295,2.5,Sub-Saharan Africa
117,Nigeria,156,0.459,2.4,Sub-Saharan Africa
118,Norway,1,0.943,9,OECD
119,Oman,89,0.705,4.8,Middle East & north Africa
120,Pakistan,145,0.504,2.5,Asia & Oceania
121,Panama,58,0.768,3.3,Americas
122,Papua New Guinea,153,0.466,2.2,Asia & Oceania
123,Paraguay,107,0.665,2.2,Americas
124,Peru,80,0.725,3.4,Americas
125,Philippines,112,0.644,2.6,Asia & Oceania
126,Poland,39,0.813,5.5,OECD
127,Portugal,41,0.809,6.1,OECD
128,Qatar,37,0.831,7.2,Middle East & north Africa
129,Romania,50,0.781,3.6,Central & Eastern Europe
130,Russia,66,0.755,2.4,Central & Eastern Europe
131,Rwanda,166,0.429,5,Sub-Saharan Africa
132,Saint Lucia,82,0.723,7,Americas
133,Saint Vincent and the Grenadines,85,0.717,5.8,Americas
134,Samoa,99,0.688,3.9,Asia & Oceania
135,Saudi Arabia,56,0.77,4.4,Middle East & north Africa
136,Senegal,155,0.459,2.9,Sub-Saharan Africa
137,Serbia,59,0.766,3.3,Central & Eastern Europe
138,Seychelles,52,0.773,4.8,Sub-Saharan Africa
139,Sierra Leone,180,0.336,2.5,Sub-Saharan Africa
140,Singapore,26,0.866,9.2,Asia & Oceania
141,Slovakia,35,0.834,4,OECD
142,Slovenia,21,0.884,5.9,OECD
143,Solomon Islands,142,0.51,2.7,Asia & Oceania
144,South Africa,123,0.619,4.1,Sub-Saharan Africa
145,Spain,23,0.878,6.2,OECD
146,Sri Lanka,97,0.691,3.3,Asia & Oceania
147,Sudan,169,0.408,1.6,Sub-Saharan Africa
148,Suriname,104,0.68,3,Americas
149,Swaziland,140,0.522,3.1,Sub-Saharan Africa
150,Sweden,10,0.904,9.3,OECD
151,Switzerland,11,0.903,8.8,OECD
152,Syria,119,0.632,2.6,Middle East & north Africa
153,Tajikistan,127,0.607,2.3,Central & Eastern Europe
